candidate_id,file,function,error_line,candidate_type,severity,evidence_level,evidence_score,historical_fix_ids,fixed_versions,matched_protocol_ids,required_actions,has_exception_hints,exception_hints,released_by_wrapper_possible,ownership_transfer_possible,manual_verdict,manual_confidence,manual_review_source,manual_confirmed_exception,manual_exception_type,manual_score_adjustment,manual_reason,manual_next_action,manual_validation_hint,score_explanation,missing_evidence,final_return_expr
candidate_ee7d8365b335,fs/btrfs/defrag.c,defrag_check_next_extent,835,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_186571dabaa2,fs/btrfs/defrag.c,defrag_collect_targets,988,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_0bcff1af8256,fs/btrfs/defrag.c,defrag_collect_targets,993,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_e7cc480ff791,fs/btrfs/defrag.c,defrag_collect_targets,998,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_c4a02d3f4c76,fs/btrfs/defrag.c,defrag_collect_targets,1002,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_e853588ff947,fs/btrfs/defrag.c,defrag_collect_targets,1030,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_317eb3917d74,fs/btrfs/defrag.c,defrag_collect_targets,1038,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_2f1decb80a1d,fs/btrfs/defrag.c,defrag_collect_targets,1042,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_ef37307b8cff,fs/btrfs/defrag.c,defrag_collect_targets,1049,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_e5faec7484ca,fs/btrfs/defrag.c,defrag_get_extent,639,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(ret)
candidate_0dee6074afa8,fs/btrfs/defrag.c,defrag_get_extent,642,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",NULL
candidate_194310fb56c1,fs/btrfs/defrag.c,defrag_get_extent,646,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(ret)
candidate_bd13071d0a57,fs/btrfs/defrag.c,defrag_get_extent,660,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(ret)
candidate_beeae97febe8,fs/btrfs/defrag.c,defrag_get_extent,676,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(ret)
candidate_f660210aba5e,fs/btrfs/defrag.c,defrag_get_extent,686,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(ret)
candidate_82757695dfa9,fs/btrfs/defrag.c,defrag_get_extent,690,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",NULL
candidate_32221c9f07e6,fs/btrfs/defrag.c,defrag_get_extent,719,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ERR_PTR(ret)
candidate_6861bd868fb6,fs/btrfs/direct-io.c,btrfs_dio_iomap_begin,476,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free""]","[""kfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_3aa88f88a6a4,fs/btrfs/disk-io.c,btrfs_init_workqueues,2011,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free"", ""memory.kv.alloc.free"", ""memory.slab.alloc.free"", ""memory.kv.alloc.free"", ""memory.slab.alloc.free"", ""memory.kv.alloc.free"", ""memory.slab.alloc.free"", ""memory.kv.alloc.free"", ""memory.slab.alloc.free"", ""memory.kv.alloc.free"", ""memory.slab.alloc.free"", ""memory.kv.alloc.free"", ""memory.slab.alloc.free"", ""memory.kv.alloc.free"", ""memory.slab.alloc.free"", ""memory.kv.alloc.free"", ""memory.slab.alloc.free"", ""memory.kv.alloc.free""]","[""kfree"", ""kvfree"", ""kfree"", ""kvfree"", ""kfree"", ""kvfree"", ""kfree"", ""kvfree"", ""kfree"", ""kvfree"", ""kfree"", ""kvfree"", ""kfree"", ""kvfree"", ""kfree"", ""kvfree"", ""kfree"", ""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",-ENOMEM
candidate_f6adf57bd569,fs/btrfs/disk-io.c,btrfs_read_roots,2248,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free"", ""memory.kv.alloc.free""]","[""kfree"", ""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_18ed7bf212d1,fs/btrfs/disk-io.c,btrfs_read_roots,2261,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free"", ""memory.kv.alloc.free""]","[""kfree"", ""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_9b8fb7ecd06c,fs/btrfs/disk-io.c,btrfs_read_roots,2302,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free"", ""memory.kv.alloc.free""]","[""kfree"", ""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
candidate_c7b68954dda1,fs/btrfs/disk-io.c,btrfs_read_roots,2314,missing_cleanup,P2,E2_API_PROTOCOL_SUPPORTED,60,,,"[""memory.slab.alloc.free"", ""memory.kv.alloc.free""]","[""kfree"", ""kvfree""]",false,[],false,false,,,,,,0,,,,"[""E0 static rule base +10"", ""E2 API protocol support without exception hints +30"", ""P2 severity +10"", ""buffer_head or memory protocol violation without exception hints +10""]","[""repair_patch"", ""dynamic_validation"", ""upstream_confirmation""]",ret
